Fake Student Identifier,Gender,Age at Semester Start,Domestic / international status,Mode of Study,Semester,Fake UoS Identifier,UoS Mark,UoS changes before Week 1,UoS changes before Week 2,UoS changes before census date,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
1539,F,19-21,International,Full Time,2,UNIT G,79,4,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2603,F,19-21,Domestic,Full Time,1,UNIT A,84,4,4,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
837,F,18 and under,Domestic,Full Time,2,UNIT J,82,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3908,F,19-21,International,Full Time,2,UNIT J,93,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3304,M,19-21,Domestic,Full Time,1,UNIT A,53,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2587,M,19-21,Domestic,Full Time,1,UNIT M,89,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
684,F,18 and under,Domestic,Full Time,1,UNIT O,62,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1551,M,18 and under,International,Full Time,2,UNIT G,84,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3759,F,19-21,Domestic,Full Time,1,UNIT O,64,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2486,M,18 and under,Domestic,Full Time,2,UNIT J,81,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
261,F,22-25,International,Full Time,2,UNIT G,73,6,6,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1078,F,19-21,Domestic,Full Time,2,UNIT D,50,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
418,M,19-21,Domestic,Full Time,1,UNIT O,73,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
465,M,19-21,International,Full Time,1,UNIT I,63,0,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
644,M,19-21,International,Full Time,1,UNIT L,70,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3603,F,19-21,Domestic,Full Time,1,UNIT A,62,0,4,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3481,F,19-21,Domestic,Full Time,1,UNIT I,67,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2432,M,19-21,International,Full Time,1,UNIT I,74,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4021,M,19-21,International,Full Time,1,UNIT O,75,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4052,F,19-21,Domestic,Full Time,2,UNIT G,50,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1
4001,M,19-21,International,Full Time,2,UNIT A,70,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2319,M,22-25,Domestic,Full Time,2,UNIT D,63,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2422,F,19-21,Domestic,Full Time,2,UNIT D,69,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2199,M,19-21,Domestic,Full Time,2,UNIT G,78,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2814,M,19-21,International,Full Time,1,UNIT A,73,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1964,F,19-21,Domestic,Part Time,2,UNIT D,77,6,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1863,F,19-21,International,Full Time,2,UNIT A,70,10,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3791,F,19-21,International,Full Time,1,UNIT I,77,6,6,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3718,F,19-21,International,Full Time,2,UNIT J,62,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3390,M,19-21,International,Full Time,1,UNIT A,65,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2149,F,19-21,Domestic,Full Time,1,UNIT O,55,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1137,M,19-21,International,Full Time,1,UNIT I,66,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2221,M,19-21,Domestic,Full Time,1,UNIT I,73,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2602,F,18 and under,International,Full Time,2,UNIT F,81,6,8,8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2905,M,22-25,Domestic,Full Time,1,UNIT I,31,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
251,F,19-21,International,Full Time,2,UNIT D,54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1214,M,19-21,Domestic,Full Time,1,UNIT I,86,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1810,M,18 and under,Domestic,Full Time,1,UNIT M,62,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394,F,19-21,International,Full Time,1,UNIT I,72,8,8,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3706,F,19-21,International,Full Time,1,UNIT A,61,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,F,22-25,International,Full Time,1,UNIT H,68,4,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3848,F,19-21,Domestic,Full Time,2,UNIT G,68,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2445,M,19-21,International,Full Time,2,UNIT J,82,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1251,M,22-25,International,Full Time,2,UNIT B,86,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3600,M,19-21,Domestic,Full Time,2,UNIT J,71,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2751,M,22-25,Domestic,Part Time,2,UNIT B,72,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2596,M,19-21,Domestic,Full Time,2,UNIT D,63,4,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2676,M,19-21,International,Full Time,2,UNIT F,84,12,14,14,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
3032,F,19-21,International,Full Time,2,UNIT E,61,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2562,M,18 and under,Domestic,Full Time,2,UNIT G,58,6,12,12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1351,M,18 and under,International,Full Time,1,UNIT I,81,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
771,M,19-21,Domestic,Full Time,1,UNIT A,50,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1160,F,19-21,Domestic,Full Time,1,UNIT O,69,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,F,19-21,Domestic,Full Time,2,UNIT F,52,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1406,F,19-21,International,Full Time,1,UNIT C,74,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1070,F,19-21,Domestic,Full Time,1,UNIT M,79,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4058,M,19-21,International,Full Time,2,UNIT J,39,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2435,M,22-25,International,Full Time,1,UNIT I,58,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1497,M,18 and under,Domestic,Full Time,2,UNIT J,88,28,34,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3081,F,18 and under,Domestic,Full Time,2,UNIT D,63,8,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1101,M,22-25,Domestic,Part Time,2,UNIT G,57,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3844,F,19-21,International,Full Time,1,UNIT I,76,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3568,M,19-21,Domestic,Full Time,1,UNIT A,66,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1710,F,19-21,Domestic,Full Time,2,UNIT G,58,18,18,18,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1
2051,F,19-21,Domestic,Full Time,2,UNIT G,26,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1237,M,18 and under,Domestic,Full Time,2,UNIT D,81,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1694,M,19-21,Domestic,Full Time,1,UNIT L,61,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1986,M,22-25,Domestic,Full Time,1,UNIT A,76,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1247,F,22-25,International,Full Time,2,UNIT G,35,24,24,38,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
8,M,22-25,International,Full Time,1,UNIT B,71,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1429,M,18 and under,International,Full Time,1,UNIT A,75,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2944,M,19-21,Domestic,Full Time,1,UNIT A,58,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2959,M,19-21,Domestic,Full Time,2,UNIT D,63,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2566,M,19-21,International,Full Time,2,UNIT J,61,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2364,F,22-25,Domestic,Full Time,2,UNIT F,71,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,F,22-25,International,Full Time,2,UNIT E,58,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
260,F,19-21,Domestic,Full Time,1,UNIT H,84,2,2,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
405,M,19-21,Domestic,Full Time,1,UNIT C,64,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
531,F,19-21,International,Full Time,2,UNIT N,69,26,26,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2398,F,18 and under,Domestic,Full Time,1,UNIT A,87,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3217,M,19-21,International,Full Time,1,UNIT B,55,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830,F,19-21,Domestic,Full Time,2,UNIT D,63,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
815,F,22-25,Domestic,Part Time,2,UNIT B,66,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3564,F,19-21,International,Full Time,2,UNIT J,63,8,8,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4043,M,19-21,Domestic,Full Time,2,UNIT D,68,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2260,M,19-21,Domestic,Full Time,2,UNIT F,58,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1152,M,19-21,Domestic,Full Time,2,UNIT J,64,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3484,F,18 and under,Domestic,Full Time,2,UNIT F,75,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2973,M,19-21,Domestic,Full Time,1,UNIT K,50,6,18,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3713,F,19-21,International,Full Time,2,UNIT F,55,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
349,M,19-21,Domestic,Full Time,1,UNIT A,68,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2897,M,18 and under,International,Full Time,2,UNIT J,76,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2486,M,18 and under,Domestic,Full Time,2,UNIT N,79,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3489,M,19-21,International,Full Time,2,UNIT A,81,8,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2663,M,19-21,Domestic,Full Time,2,UNIT D,73,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
2244,M,19-21,Domestic,Full Time,1,UNIT B,78,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3735,M,19-21,International,Full Time,1,UNIT A,69,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
387,M,19-21,Domestic,Full Time,1,UNIT M,80,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1878,F,19-21,Domestic,Full Time,2,UNIT E,68,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3667,F,18 and under,Domestic,Full Time,2,UNIT G,60,24,24,24,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0
